商品名,重量,エネルギー[kcal],たんぱく質[g],脂質[g],炭水化物[g],カルシウム[mg],鉄[mg],ビタミンA[μg],ビタミンB1[mg],ビタミンB2[mg],ビタミンC[mg],食物繊維[g],食塩相当量[g]
チーズバーガー,118,307,15.8,13.4,30.8,121,1.2,61,0.1,0.16,1,1.5,1.9
ベーコンレタスバーガー,136,374,17.7,20.8,29.1,122,1.3,61,0.14,0.18,7,1.7,2.1
てりやきマックバーガー,157,478,15.5,30.2,36.4,51,1.1,11,0.19,0.19,1,1.7,2.1
チキンフィレオ,183,465,20,21.9,47.3,39,0.9,12,0.16,0.12,1,2.8,2.9
えびフィレオ,174,395,12.5,17.4,47.7,64,0.8,8,0.09,0.06,1,2.9,2.3
ハンバーガー,104,256,12.8,9.4,30.3,30,1.2,14,0.1,0.09,1,1.5,1.4
フィレオフィッシュ,137,323,14.4,13.9,35.8,75,0.5,28,0.11,0.09,0,2.1,1.6
てりやきチキンフィレオ,195,498,20.2,23.2,52.4,38,0.9,10,0.16,0.12,1,2.8,3.1
スパチキ,139,389,14.2,20.2,38.1,33,0.8,25,0.11,0.09,1,2.2,2.5
ビッグマック,217,525,26,28.3,41.8,143,2.2,74,0.17,0.24,2,2.6,2.6
ダブルチーズバーガー,169,457,26.5,25,31.4,216,2,118,0.13,0.28,1,1.7,2.9
チキンマックナゲット 5ピース,100,270,15.8,17.2,13.1,10,0.5,23,0.09,0.1,1,0.9,1.3
マックフライポテト(S),74,225,2.9,11.3,28,10,0.6,0,0.13,0.01,9,2.6,0.5
マックフライポテト(M),135,410,5.3,20.6,51,18,1,0,0.24,0.03,16,4.8,0.8
マックフライポテト(L),17,517,6.7,25.9,64.3,22,1.3,0,0.31,0.03,20,6,1.1
ホットアップルパイ,81,211,1.9,10.7,26.8,5,0.3,1,0.05,0,0,1,0.6
ワッフルコーン プレーン,121,232,5.4,5.4,40.5,140,0.1,48,0.06,0.22,0,0.5,0.3
ワッフルコーン チョコ&アーモンド,131,295,6,10.6,44,148,0.4,48,0.06,0.25,0,0.9,0.3
ワッフルコーン ストロベリー,141,257,5.5,5.4,46.7,147,0.2,48,0.06,0.22,3,0.8,0.3
マックフルーリーオレオ,163,337,8.1,10.5,53.2,186,1.5,62,0.08,0.28,0,1.4,0.7
プチパンケーキ,56,161,3.8,4.4,26.4,60,1.4,8,0,0,0,1.3,0.8
三角チョコパイ 黒,67,347,4,23.3,30.5,17,2.4,1,0.03,0.04,0,2.4,0.4
サイドサラダ,65,10,0.5,0.1,2.3,13,0.2,27,0.03,0.02,15,0.8,0
スイートコーン,80,58,1.8,1,10.2,1,0.2,2,0.02,0.06,5,2,0.2
ハッシュポテト,51,145,1.3,9.7,13,5,0.3,0,0.05,0.01,1,1.6,0.8
三角チョコパイ 白,67,334,4,21.1,32,40,0.2,5,0.03,0.07,0,1.1,0.5
ミニッツメイドオレンジ,325,146,2.3,0.3,33.8,26,0.3,13,0.26,0.03,117,0.7,0
コカ・コーラ,325,140,0,0,35.1,7,0,0,0,0,0,0,0
アイスカフェラテ,395,103,5.1,5.7,7.6,166,0,59,0.06,0.23,2,0,0.2
カフェラテ,230,119,5.9,6.7,8.8,194,0,68,0.07,0.27,2,0,0.2
キャラメルラテ,253,170,6,6.7,21.2,196,0,69,0.07,0.27,2,0,0.2
プレミアムローストコーヒー,300,12,0.6,0,2.1,6,0,0,0,0.03,0,0,0
ホットティー(ストレート),300,3,0.3,0,0.3,3,0,0,0,0.03,0,0,0
ホットティー(レモン),305,4,0.3,0,0.6,3,0,0,0,0,1,0,0
ホットティー(ミルク),305,14,0.5,1,0.5,3,0,0,0,0.03,0,0,0
マックシェイクストロベリー,308,356,6.8,5.4,69.8,240,0,0,0.11,0.38,0,0.8,0.4
マックシェイクチョコレート,307,363,7.5,5.9,69.9,246,1.6,0,0.11,0.39,0,1.9,0.6
マックシェイクバニラ,308,353,6.8,5.4,69.2,239,0,0,0.11,0.38,0,0.8,0.4
